name,author
The Thorn Birds,Colleen McCullough
She''s Come Undone,Wally Lamb
Frostbite,Richelle Mead
A Walk in the Woods,Bill Bryson
The Secret,Rhonda Byrne
The Final Empire,Brandon Sanderson
Oliver Twist,Charles Dickens
The One,Kiera Cass
The Crucible,Arther Miller
The Unbearable Lightness of Being,Milan Kundera
Do Androids Dream of Electric Sheep?,Philip K. Dick
A Discovery of Witches,Deborah Harkness
The Casual Vacancy,J.K. Rowling
The Fountainhead,Ayn Rand
I Know This Much is True,Wally Lamb
Nineteen Minutes,Jodi Picoult
Salem''s Lot,Stephen King
The Screwtape Letters,C.S. Lewis
A Court of Thorns and Roses,Sarah J Maas
The Red Pyramid,Rick Riordan
The Last Lecture,Randy Pausch
White Oleander,Janet Fitch
Beloved, Toni Morrison
Good in Bed,Jennifer Weiner
Sill Alice,Lisa Genova
Stargirl,Jerry Spinelli
Fear and Loathing in Las Vegas,Hunter Thompson
1st to Die,James Patterson
A Prayer to Owen Meany,John Irving
The Importance of Being Earnest,Oscar Wilde
One Day,David Nicholls
The Witches,Roald Dahl
Daughter of Smoke and Bone,Laini Taylor
Blood Promise,Richelle Mead
Northanger Abbey,Jane Austen
Dark Lover,J.R. Ward
The Color of Magic,Terry Pratchett
What Alice Forgot,Liane Moriarty
Perfume: The Story of a Murderer,Patrick Suskind
And the Mountains Echoed,Khaled Hosseini
John Adams,David McCullough
Norwegian Wood,Haruki Murakami
A Study in Scarlet,Arthur Conan Doyle
Heaven is for Real,Todd Burpo
The New Drawing on the Right Side of the Brain,Betty Edwards
When Breath Becomes Air,Paul Kalanithi
Mansfield Park,Jane Austen
Crescendo,Becca Fitzpatrick
Brisingr,Christopher Paolini
The Pact,Jodi Picould
Evermore,Alyson Noel
Stranger in a Strange Land,Robert Heinlein
Spirit Bound,Richelle Mead
Scarlet,Marissa Meyer
Man''s Search for Meaning ,Viktor Frankl
The Thirteenth Tale,Diane Setterland
Storm Front,Jim Butcher
The Three Musketeers,Alexandre Dumas
The Amber Spyglass -Philip Pullman
The Runaway Jury,John Grisham
Before I Go to Sleep,S.J. Watson
Last Sacrifice,Richelle Mead
Things Fall Apart,Chinua Achebe
Dragonfly in Amber,Diana Gabaldon
A Streetcar Names Desire,Tennessee Williams
Where She Went,Gayle Forman
In the Woods,Tara French
Mere Christianity,C.S. Lewis
The Story of Art,E.H. Gombrich
City of Heavenly Fire,Cassandra Clare
V for Vendetta,Alan Moore
A Short History of Nearly Everything,Bill Bryson
The Undomestic Goddess,Sophie Kinsella
Crown of Midnight,Sarah J Maas
Shatter Me,Taherah Mafi
Hopeless,Colleen Hoover
The Paris Wife,Paula McLain
Kafka on the Shore,Haruki Murakami
Dead to the World,Charlaine Harris
A Farewell to Arms,Ernest Hemingway
Little House on the Prairie,Laura Wilder
Defending Jacob,William Landay
Neuromancer,William Gibson
The Historian,Elizabeth Kostova
For Whom the Bell Tolls,Ernest Hemingway
Perfect Chemistry,Simone Ekleles
Silence,Becca Fitzpatrick
War and Peace,Leo Tolstoy
Where the Heart is,Billie Letts
Dress Your Family in Corduroy and Denim,David Sedaris
Just Listen,Sarah Dessen
The Invention of Wings,Sue Monk Kidd
Living Dead in Dallas,Charlaine Harris
After You,Jojo Moyes
Naked,David Sedaris
Go Ask Alice,Anonymous
The 5 Love Languages,Gary Chapman
Maus 1: A survivor''s tale,Art Spiegelman
Bel Canto,Ann Patchett
Fall of Giants,Ken Follett
The Princess Diaries,Meg Cabot
A Brief History of Time,Stephen Hawking
Pretties,Scott Westerfield
Cress,Marissa Meyer
The Things They Carried,Tim O''Brien
Voyager,Diana Gabaldon
Little Fires Everywhere,Celeste Ng
Tess of the D''Urbervilles,Thomas Hardy
Little Bee,Chris Cleave
The Green Mile,Stephen King
The Hiding Place,Corrie Boom
The Power of Habit,Charles Duhigg
Madame Bovary,Gustave Flaubert
The Phantom Tollbooth,Norton Juster
The Namesake,Jhumpa Lahiri
The Woman in Cabin 10,Ruth Ware
The Good Earth,Pearl Buck
The Prince,Niccolo Machiavelli
Club Dead,Charlaine Harris
The No. 1 Ladies'' Detective Agency,Alexander Smith
Snow Crash,Neal Stephenson
The Way of Kings,Brandon Sanderson
Message in a Bottle,Nicholas
The House of Hades,Rick Riordan
The Virgin Suicides,Jeffrey Eugenides
The God of Small Things,Roy Arundhati
Easy,Tammara Webber
Pandemonium,Lauren Oliver
Killing Floor,Lee Child
A Confederacy of Dunces,John Toole
The Brief Wondrous Life of Oscar Wao,Junot Diaz
The War of the Worlds,H.G. Wells
Little House in the Big Woods,Laura Wilder
2001: A Space Odyssey,Arthur C. Clarke
The Clan of the Cave Bear,Jean Auel
Breakfast of Champions,Kurt Vonnegut
Remember Me?,Sophie Kinsella
A Million Little Pieces,James Frey
The God Delusion,Richard Dawkins
Tuck Everlasting,Natalie Babbitt
The Purpose Driven Life,Rick Warren
I''ll Give You the Sun,Jandy Nelson
Speaker of the Dead,Orson Scott Card
To All the Boys I''ve Loved Before,Jenny Han
American Psycho,Bret Ellis
The Truth About Forever,Sarah Dessen
The Brothers Karamazov,Fyodor Dostoyevsky
The Raven Boys,Maggie Stiefvater
The Andromeda Strain,Michael Crichton
Torment,Lauren Kate
All the Bright Places,Jennifer Niven
Obsidian,Jennifer Armentrout
The Absolutely True Diary of a Part-Time Indian,Sherman Alexie
Crossed,Ally Condie
The Restaurant at the End of the Universe,Douglas Adams
Fast Food Nation,Eric Schlosser
The Magicians,Lev Grossman
Everything I Never Told You,Celeste Ng
The Hero of Ages,Brandon Sanderson
Something Blue,Emily Giffin
The World According to Garp,John Irving
A Court of Mist and Fury,Sarah J Maas
Go Set a Watchman,Harper Lee
Slammed,Colleen Hoover
Shadow and Bone,Leigh Bardugo
Postmortem,Patricia Cornwell
Cujo,Stephen King
The Great Hunt,Robert Jordan
Hillbilly Elegy,J.D. Vance
Cloud Atlas,David Mitchell
Oryx and Crake,Margaret Atwood
A Wizard of Earthsea,Ursula LqGuin
Dead as a Doornail,Charlaine Harris
Assassin''s Apprentice,Robin Hobb
It''s Kind of a Funny Story,Ned Vizzini
Wall and Peace,Banksy
In Her Shoes,Jennifer Weiner
The Walking Dead Vol. 1,Robert Kirkman
The Master and Margarita,Mikhail Bulgakov
The Mysterious Affair at Styles,Agatha Christie
The Trial,Franz Kafka
Mrs. Dalloway,Virginia Woolf
Eleanor Oliphant is Completely Fine,Gail Honeyman
Heir of Fire,Sarah J Maas
Breakfast at Tiffany''s,Truman Capote
The Prophet,Kahlil Gibran
Milk and Honey,Rupi Kaur
Batman: Year One,Frank Miller
The Drawing of the Three,Stephen King
All Together Dead,Charlaine Harris
Inheritance,Christopher Paolini
Definitely Dead,Charlaine Harris
The Wind-Up Bird Chronicle,Haruki Murakami
The Silmarillion,J.R.R. Tolkien
The Dragon Reborn,Robert Jordan
David Copperfield,Charles Dickens
Prodigy,Marie Lu
Pretty Little Liars,Sara Shepard
The Prince of Tides,Pat Conroy
Behind Closed Doors,B.A. Paris
Mr. Mercedes,Stephen King
On Writing: A Memoir of the Craft,Stephen King
Needful Things,Stephen King
Redeeming Love,Francine Rivers
The Martian Chronicles,Ray Bradbury
The Language of Flowers,Vanessa Diffenbaugh
The Phantom of the Opera,Gaston Leroux
Lean In,Sheryl Sandberg
Don Quixote,Miguel Cervantes
The Mists of Avalon,Marion Bradley
Along for the Ride,Sarah Dessen
The Iron King,Julie Kagawa
The Life-Changing Magic of Tidying Up,Marie Kondo
Life After Life,Kate Atkinson
Choke,Chuck Palahniuk
The Lincoln Lawyer,Michael Connelly
Franny and Zooey,J.D. Salinger
Uncle Tom''s Cabin,Harriet Beecher Stowe
The Subtle Art of Not Giving a F*ck,Mark Manson
Timeline,Michael Crichton
The Silkworm,Robert Galbraith
Americanah,Chimamanda Adichie
Jonathan Strange, Susanna Clarke
Zen and the Art of Motorcycle Maintenance,Robert Pirsig
Christine,Stephen King
Truly Madly Guilty,Liane Moriarty
The Forgotten Garden,Kate Morton
The Hate U Give,Angie Thomas
Cell,Stephen King
The Amazing Adventures of Kavalier, Michael Chabon
Anansi Boys,Neil Gaiman
The Short Second Life of Bree Tanner,Stephanie Meyer
From Dead to Worse,Charlaine Harris
Unwind,Neal Shusterman
Twenty Thousand Leagues Under the Sea,Jules Verne
When You Are Engulfed in Flames,David Sedaris
Drums of Autumn,Diana Gabaldon
Entwined in You,Sylvia Day
Jonathan Livingston Seagull,Richard Bach
I''ve Got Your Number,Sophie Kinsella
Red Rising,Pierce Brown
The Couple Next Door,Shari Lapena
Kitchen Confidential,Anthony Bourdain
Nickel and Dimed,Barbara Ehrenreich
Preludes, Neil Gaiman
Gone,Michael Grant
The Boys in the Boat,Daniel Brown
Beastly,Alex Flinn
Every Day,David Levithan
This Lullaby,Sarah Dessen
Patriot Games,Tom Clancy
Dead and Gone,Charlaine Harris
World Without End,Ken Follett
The DUFF: Designated Ugly Fat Friend,Kody Keplinger
Ways of Seeing,John Berger
The Lies of Locke Lamora,Scott Lynch
Girl Interrupted,Susanna Kaysen
Firestarter,Stephen King
Heidi,Johanna Spyri
Starship Troopers,Robert A. Heinlein
Small Great Things,Jodi Picoult
Orange is the New Black,Piper Kerman
Howl''s Moving Castle,Diana Wynne Jones
The Hundred-Year-old Man Who Climbed Out a Window…,Jonas Jonasson
The Vampire Lestat,Anne Rice
Mort,Terry Pratchett
The Bourne Supremacy,Robert Ludlum
The Underground Railroad,Colson Whitehead
Aristotle and Dante Discover the Secrets of the Universe,Benjamin Saenz
High Fidelity,Nick Hornby
The Omnivore''s Dilemma,Michael Pollan
Death of a Salesman,Arthur Miller
Sophie''s World,Jostein Garrder
King Lear,William Shakespeare
Lover Eternal,J.R. Ward
1Q84,Haruki Murakami
Six of Crows,Leigh Bardugo
The Passage,Justin Cronin
1776,David McCullough
Simon vs. the Homo Sapiens Agenda,Becky Albertalli
The Rescue,Nicholas Sparks
From the Mixed-Up Files of Mrs. Basil E. Frankenweiler,E.L. Konigsburg
Specials,Scott Westerfield
The Circle,Dave Eggers
Bloodlines,Richelle Mead
A People''s History of the United States,Howard Zinn
Hollow City,Ransom Riggs
Wallbanger,Alice Clayton
A Visit from the Good Squad,Jennifer Egan
Homegoing,Yaa Gyasi
The Waste Lands,Stephen King
On Dublin Street,Samantha Young
Shogun,James Clavell
The House of the Spirits,Isabel Allende
Dreams from My Father,Barack Obama
The Remains of the Day,Kazuo Ishiguro
Everything is Illuminated,Jonathan Safran Foer
Walking Disaster,Jamie McGuire
Mrs. Frisby and the Rats of NIMH,Robert C. O''Brien
The Heir,Kiera Cass
The Reader,Bernhard Schlink
The Awakening,Kate Chopin
Blindness,Jose Saramago
Queen of Shadows,Sarah J Maas
Different Seasons,Stephen King
Fallen Too Far,Abbi Glines
The Rainmaker,John Grisham
Bag of Bones,Stephen King
The Guardian,Nicholas Sparks
The Autobiography of Malcolm X,Malcolm X
Thinner,Stephen King
Batman: The Dark Knight Returns,Frank Miller
Snow Falling on Cedars,David Guterson
Lover Awakened,J.R. Ward
The Dead Zone,Stephen King
The Blood of Olympus,Rick Riordan
Firefly Lane,Kristin Hannah
Into the Water,Rachel Hawkins
The Hunchback of Notre Dame,Victor Hugo
State of Wonder,Ann Patchett
Prey,Michael Crichton
Hyperbole and a Half,Allie Brosh
Sphere,Michael Crichton
Turtles All the Way Down,John Green
Plain Truth,Jodi Picoult
Mr. Penumbra''s 24-Hour Bookstore,Robin Sloan
Veronika Decides to Die,Paulo Coelho
The Invention of Hugo Cabret,Brian Selznick
Hyperion,Dan Simmons
Fire,Kristin Cashore
Dead in the Family,Charlaine Harris
Nights in Rodanthe,Nicholas Sparks
Congo,Michael Crichton
The Cider House Rules,John Irving
The Sound and the Fury,William Faulkner
Midwives,Chris Bohjalian
Pippy Longstocking,Astrid Lindgren
Batman: The Killing Joke,Alan Moore
Angelfall,Susan Ee
Let''s Pretend This Never Happened,Jenny Lawson
Born a Crime: Stories from a South African Childhood,Trevor Noah
The Shadow Rising,Robert Jordan
Wicked Lovely,Melissa Marr
Naked in Death,J.D. Robb
The Corrections,Jonathan Franzen
Love the One You''re With,Emily Giffin
The White Queen,Philippa Gregory
The Storyteller,Jodi Picoult
Champion,Marie Lu
The Merchant of Venice,William Shakespeare
A Long Way Gone: Memoirs of a Boy Soldier,Ishmael Beah
Linger,Maggie Stiefvater
Beautiful Ruins,Jess Walter
The Unbecoming of Mara Dyer,Michelle Hodkin
Twelth Night,William Shakespeare
Just Kids,Patti Smith
Interpreter of Maladies,Jhumpa Lahiri
The Choice,Nicholas Sparks
Freedom,Jonathan Franzen
Attachments,Rainbow Rowell
Winter,Marissa Meyer
Gathering Blue,Lois Lowry
Invisible Man,Ralph Ellison
Baby Proof,Emily Giffin
A is for Alibi,Sue Grafton
Maybe Someday,Colleen Hoover
Elon Musk,Ashlee Vance
The Constant Princess,Philippa Gregory
The Power of Now: A Guide to Spiritual Enlightenment,Eckhart Tolle
Wizard and Glass,Stephen King
Twenties Girl,Sophie Kinsella
Words of Radiance,Brandon Sanderson
Dark Matter,Blake Crouch
The Silver Linings Playbook,Matthew Quick
The Westing Game,Ellen Raskin
Think and Grow Rich,Napoleon Hill
Landline,Rainbow Rowell
The Tale of Despereaux,Kate DiCamillo
Unravel Me,Tahereh Mafi
The White Tiger,Aravind Adiga
Lamb: The Gospel According to Biff,Christopher Moore
Shutter Island,Dennis Lehane
Between the World and Me,Ta-Nehisi Coates
Born to Run,Christopher McDougall
The Edge of Never,J.A. Redmerski
Darkfever,Karen Marie Moning
Ender''s Shadow,Orson Scott Card
The Fiery Cross,Diana Gabaldon
Two for the Dough,Janet Evanovich
Origin,Dan Brown
Before We Were Yours,Lisa Wingate
Under the Banner of Heaven,Jon Krakauer
The Throne of Fire- Rick Riordan
Modern Romance,Aziz Ansari
In the Garden of Beasts,Erik Larson
The Bone Collector,Jeffery Deaver
Steal Like an Artist,Austin Kleon
Lock and Key,Sarah Dessen
Fool Moon,Jim Butcher
Lola and the Boy Next Door,Stephanie Perkins
Gabriel''s Inferno,Sylvain Reynard
Guards! Guards!,Terry Pratchett
The Complete Grimm''s Fairy Tales,Jacob Grimm
Passion,Lauren Kate
The Kill Order,James Dashner
Crazy Rich Asians,Kevin Kwan
Artemis Fowl and the Lost Colony,Eoin Colfer
Ugly Love,Colleen Hoover
Flowers in the Attic,V.C. Andrews
Persepolis: The Story of Childhood,Marjane Satrapi
The Lean Startup,Eric Ries
Why Not Me?,Mindy Kaling
The Four Agreements,Miguel Ruiz
Point of Retreat,Colleen Hoover
Doctor Sleep,Stephen King
The Bluest Eye,Toni Morrison
Waiting for Godot,Samuel Beckett
Roots: The Saga of an American Family,Alex Haley
Wolf Hall,Hilary Mantel
The Wedding,Nicholas Sparks
We Need to Talk About Kevin,Lionel Shriver
The Man Who Mistook His Wife for a Hat,Oliver Sacks
Suzanne''s Diary for Nicholas,James Patterson
It Ends with Us,Colleen Hoover
A Bend in the Road,Nicholas Sparks
The Man in the High Castle,Philip K. Dick
Wolves of the Calla,Stephen King
Beautiful Bastard,Christina Lauren
Onyx,Jennifer L. Armentrout
Thoughtless,S.C. Stephens
The Elegance of the Hedgehog,Muriel Barberry
The Best of Me,Nicholas Sparks
A Court of Wings and Ruin,Sarah J Maas
House Rules,Jodi Picoult
Half Broke Horses,Jeannette Walls
The Girls,Emma Cline
The Unlikely Pillgrimage of Harold Fry,Rachel Joyce
Eleven Minutes,Paulo Coelho
Foundation and Empire,Isaac Asimov
Shantaram,Gregory David Roberts
Elantris,Brandon Sanderson
Lonesome Dove,Larry McMurtry
The Way of Shadows,Brent Weeks
A New Earth: Awakening to Your Life''s Purpose,Eckhart Tolle
The Black Echo,Michael Connelly
Sh*t My Dad Says,Justin Halpern
The Sense of an Ending,Julian Barnes
The Kife of Never Letting Go,Patrick Ness
Reached,Ally Condie
Seabiscuit: An American Legend,Laura Hillenbrand
Old Man''s War,John Scalzi
Blue Bloods,Melissa Cruz
The Girls'' Guide to Hunting and Fishing,Melissa Bank
Three to Get Deadly,Janet Evanovich
Watchers,Dean Koontz
Crazy Love: Overhelmed by a Relentless God,Francis Chan
Brain on Fire: My Month of Madness,Susannah Cahalan
Night Shift,Stephen King
The Nest,Cynthia D''Aprix Sweeney
Shadow of Night,Deborah Harkness
Xenocide,Orson Scott Card
The Queen of the Damned (Vampire #3),Anne Rice
The Age of Innocence,Edith Wharton.
Team of Rivals,Doris Kearns Goodwin
The Blade Itself,Joe Abercrombie
The Alchemyst,Michael Scott
The Plague,Albert Camus
Glass Sword,Victoria Aveyard
Nine Stories,J.D. Salinger
Shanghai Girls,Lisa See
An Ember in the Ashes,Sabaa Tahir
Wait for You,J. Lynn
Journey to the Center of the Earth,Jules Verne
Guilty Pleasures,Laurell K Hamilton
One Plus One,Jojo Moyes
Smile,Raina Telgemeier
Finale,Becca Fitzpatrick
The Summer I Turned Pretty,Jenny Han
The Joy of Cooking,Irma S. Rombauer
Halfway to the Grave,Jeaniene Frost
Tales of a Fourth Grade Nothing,Judy Blume
Olive Kitteridge,Elizabeth Strout
The Audacity of Hope,Barack Obama
North and South,Elizabeth Gaskell
The Art Book,Phaidon Press
The Witch of Blackbird Pond,Elizabeth George Speare
Trainspotting,Irvine Welsh
The Blind Assassin,Margaret Atwood
Inferno,Dante Alighieri
Grey,E.L. James
No Country for Old Men,Cormac McCarthy
The Sweetness at the Bottom of the Pie,Alan Bradley
As I Lay Dying,William Faulkner
Insomnia,Stephen King
The Dark Tower,Stephen King
Royal Assassin,Robin Hobb
My Life Next Door,Huntley Fitzpatrick
Between Shades of Gray,Ruta Sepetys
The Alienist,Caleb Carr
Poison Study,Maria V. Snyder
Middlemarch,George Eliot
Lady Midnight,Cassandra Clare
A Little Life,Hanya Yanagihara
Four Score,Janet Evanovich
The Shipping News,Annie Prouix
Major Pettigrew''s Last Stand,Helen Simonson
Schingler''s List,Thomas Keneally
My Brilliant Friend,Elena Ferrante
Falling Up,Shel Silverstein
Carry On,Rainbow Rowell
Career of Evil,Robert Galbraith
The Story of My Life,Helen Keller
Jaws,Peter Benchley
Anne of Avonlea,L.M. Montgomery
Year of Wonders,Geraldine Brooks
The Jungle,Upton Sinclair
David and Goliath,Malcolm Gladwell
About a Boy,Nick Hornby
Requiem,Lauren Oliver
Grave Peril,Jim Butcher
Deja Dead,Kathy Reichs
Steelheart,Brandon Sanderson
Anthem,Ayn Rand
Clear and Present Danger,Tom Clancy
The Happiness Project,Gretchen Rubin
Pretty Girls,Karin Slaughter
Curious George,H.A. Rey
Vision in White,Nora Roberts
Second Foundation,Isaac Asimov
Luckiest Girl Alive,Jessica Knoll
Days of Blood,Laini Taylor
A Gentleman in Moscow,Amor Towles
The Hours,Michael Cunningham
Equal Rites,Terry Pratchett
I am the Messenger,Markus Zusak
Harold and the Purple Crayon,Crockett Johnson
Gerald''s Game,Stephen King
A Breath of Snow and Ash,Diana Gabaldon
The Forever war,Joe Haldeman
The Fires of Heaven,Robert Jordan
Rework,Jason Fried
The Secret Keeper,Kate Morton
The Girl You Left Behind,Jojo Moyes
Siege and Storm,Leigh Bardugo
Paradise Lost,John Milton
Beautiful Darkness,Kami Garcia
The Chamber,John Grisham
Unearthly,Cynthia Hand
For One More Day,Mitch Albom
A Darker Shade of Magic,Victoria Schwab
Shopaholic,Sophie Kinsella
Rendezvous with Rama,Arthur C. Clarke
The Big Short: Inside the Doomsday Machine,Michael Lewis
The Power of Six,Pittacus Lore
Lover Revealed,J.R. Ward
House of Sand and Fog,Andre Dubus
The Selfish Gene,Richard Dawkins
A Beautiful Mind,Sylvia Nasar
A Fine Balance,Rohinton Mistry
A Portrait of the Artist as a Young Man,James Joyce
The History of Love,Nicole Krauss
The Dinner,Herman Koch
The Sword of Summer,Rick Riordan
Dead Reckoning,Charlaine Harris
Lover Unbound,J.R. Ward
People of the Book,Geraldine Brooks
Lilac Girls,Martha Hall Kelly
The Deep End of the Ocean,Jacquelyn Mitchard
Leaving Time,Jodi Picoult
Rodrick Rules,Jeff Kinney
The Surgeon,Tess Gerritsen
Effortless,S.C. Stephens
The Bonesetter''s Daughter,Amy Tan
Steppenwolf,Hermann Hesse
Reconstructing Amelia,Kimberly McCreight
Hot Six,Janet Evanovich
The Darkest Minds,Alexandra Bracken
Anne of the Island,L.M. Montgomery
Beneath a Scarlet Sky,Mark Sullivan
Song of Susannah,Stephen King
Empire of Storms ,Sarah J Maas
The Tenth Circle,Jodi Picoult
Maniac Magee,Jerry Spinelli
Far from the Madding Crowd,Thomas Hardy
Eye of the Needle,Ken Follett
Dolores Claiborne,Stephen King
Opal,Jennifer L. Armentrout
Never Too Far,Abbi Glines
Childhood''s End,Arthur C. Clarke
Pushing the Limits,Katie McGarry
Not that Kind of Girl,Lena Dunham
Summer Knight,Jim Butcher
Leviathan Wakes,James S.A. Corey
Jemima J,Jane Green
Towers of Midnight,Robert Jordan
High Five,Janet Evanovich
Lord of Chaos,Robert Jordan
Maus II: And here my troubles began,Art Spiegelman
SuperFreakonomics,Steven Levitt
The Dark Half,Stephen King
Desperation,Stephen King
Ignite Me,Tahereh Mafi
Across the Universe,Beth Revis
Rules of Civility,Amor Towles
To the Lighthouse,Virginia Woolf
Tell the Wolves I''m Home,Carol Rifka Brunt
Helter Skelter: The True Story of the Manson Murders,Vincent Bugliosi
Vanity Fair,William Thackeray
The Coincidence of Callie,Jessica Sorensen
Mystic River,Dennis Lehane
